Scenarios,,,,,,,,,,,,,
# of candidate nodes: N,9,,,,,,,,,,,,
max # faulted nodes: F,1,,,,,,,,,,,,
# of active nodes desired: M or 3F + 1,4,,,,,,,,,,,,
N - F,3,,,,,,,,,,,,
,,fake scenario 1,fake scenario 2,"major natural disaster, Munich",US cease-and-desist,"AWS outage, Virginia",external DDOS,ESX vuln,global vuln like spectre,EU cease-and-desist,KVM vuln,fake scenario 3,"major natural disaster, US East Coast"
likelihood per year (from MTBF),,1%,15%,0.01%,5%,1%,50%,3%,50%,2%,3%,10%,0.01%
Steward,MTTR,fault?,fault?,fault?,fault?,fault?,fault?,fault?,fault?,fault?,fault?,fault?,fault?
Bank A,5,1,0,0,0,0,0,0,0,1,0,1,0
Tech Firm B,13,0,1,0,0,0,0,1,1,0,0,0,0
University C,11,0,0,0,1,0,1,0,1,0,0,1,0
Law Firm D,6,0,1,0,1,1,1,0,0,0,0,0,1
NGO E,6,1,0,0,0,0,1,0,0,0,0,1,0
Government F,9,0,1,1,0,0,1,0,1,1,0,0,0
Consortium G,12,1,0,1,0,0,1,0,1,1,1,1,0
Tech Firm H,8,1,1,1,0,0,0,0,0,1,0,0,0
Biotech Firm J,7,1,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
faulted,,5,4,3,2,1,5,1,4,4,1,5,1
unfaulted,,4,5,6,7,8,4,8,5,5,8,4,8
failure distance,,1,2,3,4,5,1,5,2,2,5,1,5
downtime guess (optimistic),,7.6,9.0,10,8.5,6.0,8.8,13.0,11.3,8.5,12.0,8.2,6
downtime guess (pessimistic),,36,39,36,33,18,36,39,39,36,36,36,18
,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
